TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95
20240101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.815,7.234,0.894,8.627,1.656,7.815,0.0,7.234,0.894,0.0,8.627,1.656,0.0,171.739,-9999,-9999,72.949,72.949,0.0,-9999,-9999,318.929,318.929,0.0,-9999,-9999,319.521,319.521,0.0,-9999,-9999,1.67,1.67,0.0,95.623,95.623,0.0,0.297,0.297,0.0,0.943,0.943,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.1189,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.2249,4.64929,0.0,-9999,-9999,-12.1741,6.97498,0.0,-9999,-9999,10.0296,4.74524,0.0,-9999,-9999,-12.1581,7.04909,0.0,-9999,-9999,7.38825,8.19154,8.41932,9.28337,10.4208,10.7063,11.5203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6193,-12.3417,-12.2708,-12.1581,-11.1774,-11.1264,-11.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,0.52288,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.488192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.445853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.443099,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20240102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.812,5.456,3.244,8.709,4.657,6.812,0.0,5.456,3.244,0.0,8.709,4.657,0.0,172.364,-9999,-9999,81.199,81.199,0.0,-9999,-9999,311.51,311.51,0.0,-9999,-9999,311.595,311.595,0.0,-9999,-9999,1.389,1.389,0.0,95.784,95.784,0.0,0.001,0.001,0.0,1.451,1.451,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.13677,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.44613,3.43988,0.0,-9999,-9999,-12.1003,7.4416,0.0,-9999,-9999,8.91988,3.4003,0.0,-9999,-9999,-11.9462,7.46498,0.0,-9999,-9999,5.87816,6.57504,7.31846,8.44613,9.10244,9.3602,10.5668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1003,-12.0384,-11.9852,-11.8076,-11.0345,-10.5793,-10.5677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,0.500105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.463708,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.43471,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.471778,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20240103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.26,8.823,1.882,9.871,2.222,9.26,0.0,8.823,1.882,0.0,9.871,2.222,0.0,173.047,-9999,-9999,20.43,20.43,0.0,-9999,-9999,352.049,352.049,0.0,-9999,-9999,354.908,354.908,0.0,-9999,-9999,0.58,0.58,0.0,95.632,95.632,0.0,2.173,2.173,0.0,1.609,1.609,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.166674,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.46303,4.78442,0.0,-9999,-9999,-11.6949,6.5948,0.0,-9999,-9999,10.2884,4.61595,0.0,-9999,-9999,-11.559,6.58406,0.0,-9999,-9999,5.69211,6.87026,7.83692,9.46303,10.2884,10.353,10.6563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4926,-11.8476,-11.6949,-11.559,-11.1914,-10.5728,-10.4455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,0.559324,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.489566,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.494174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.179819,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20240104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.585,10.467,0.527,10.751,0.6,10.585,0.0,10.467,0.527,0.0,10.751,0.6,0.0,173.787,-9999,-9999,16.428,16.428,0.0,-9999,-9999,377.223,377.223,0.0,-9999,-9999,381.805,381.805,0.0,-9999,-9999,0.125,0.125,0.0,95.173,95.173,0.0,9.221,9.221,0.0,2.004,2.004,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-8.20532,0.0,20.996,0.0,-9999,-9999,-9999,-9999,-9999,18.8764,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,0.320291,0.0,-9999,-9999,0.814309,0.0,-9999,-9999,0.646397,0.0,0.1189,-0.504921,-0.151842,0.262115,0.677256,0.971743,1.25429,2.16281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2249,4.64929,0.0,-9999,-9999,-12.1741,6.97498,0.0,-9999,-9999,10.0296,4.74524,0.0,-9999,-9999,-12.1581,7.04909,0.0,-9999,-9999,7.38825,8.19154,8.41932,9.28337,10.4208,10.7063,11.5203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6193,-12.3417,-12.2708,-12.1581,-11.1774,-11.1264,-11.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2281,15.2597,13.6376,0.592601,9.24432,9.56314,9.83331,14.341,15.2281,16.4146,20.8846,14.4237,14.4454,12.9912,0.556638,8.83228,9.08787,9.73838,13.7903,14.841,15.4047,19.5249,9.51155,11.8408,7.32568,0.548256,2.70433,3.40973,3.65672,9.51155,9.9218,9.97293,11.8408,1.07103,0.169017,1.48856,0.147117,0.169017,0.169017,0.856518,1.03659,2.53523,2.53581,2.59744
20240105,-9999,-9999,4.499,1.533,0.0,8.34,0.676,0.0,6.666,6.815,1.217,6.457,1.38,6.666,0.0,6.815,1.217,0.0,6.457,1.38,0.0,174.586,-9999,-9999,74.585,74.585,0.0,-9999,-9999,303.184,303.184,0.0,-9999,-9999,302.699,302.699,0.0,-9999,-9999,1.731,1.731,0.0,94.798,94.798,0.0,0.317,0.317,0.0,3.531,3.531,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-8.57447,0.0,22.0027,0.0,-9999,-9999,-9999,-9999,-9999,16.8066,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28,20,0,0,-0.119222,0.0,-9999,-9999,0.234192,0.0,-9999,-9999,0.0443064,0.0,0.13677,-1.56368,-0.890437,-0.341234,0.1184,0.327825,0.664064,1.8272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44613,3.43988,0.0,-9999,-9999,-12.1003,7.4416,0.0,-9999,-9999,8.91988,3.4003,0.0,-9999,-9999,-11.9462,7.46498,0.0,-9999,-9999,5.87816,6.57504,7.31846,8.44613,9.10244,9.3602,10.5668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1003,-12.0384,-11.9852,-11.8076,-11.0345,-10.5793,-10.5677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6771,12.6724,11.305,0.494499,7.53581,7.76113,8.08713,11.7705,12.684,13.6716,17.2893,12.4415,12.4382,11.2607,0.458243,7.16702,8.10237,8.29865,12.1264,12.7398,13.3438,16.6252,5.68229,11.0851,5.57205,0.424021,2.53173,3.1921,3.42333,5.68229,6.26521,6.28466,11.0851,3.94377,0.745605,5.24595,0.468025,0.745605,0.745605,3.50076,3.85433,8.50953,8.51307,8.66159
20240106,6.176,0.0,3.53,1.617,0.0,9.881,2.321,0.0,4.106,3.403,1.24,5.089,3.033,4.106,0.0,3.403,1.24,0.0,5.089,3.033,0.0,175.442,133.683,0.0,110.248,110.248,0.0,286.051,0.0,255.298,255.298,0.0,263.9,0.0,251.536,251.536,0.0,1.258,0.0,1.301,1.301,0.0,95.468,95.468,0.0,0.0,0.0,0.0,2.093,2.093,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,488.301,0.0,8.683,0.0,18.632,0.0,-6.75819,0.0,21.3153,0.0,-9999,-9999,-9999,3.08013,-9999,19.114,0.0,-9999,-9999,-9999,2.18721,-9999,-9999,-9999,28,20,0,0,0.671622,0.0,-9999,-9999,1.23006,0.0,-9999,-9999,0.551639,0.0,0.166674,-1.83823,-1.15258,0.0904162,0.730401,1.23006,1.26917,1.87917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46303,4.78442,0.0,-9999,-9999,-11.6949,6.5948,0.0,-9999,-9999,10.2884,4.61595,0.0,-9999,-9999,-11.559,6.58406,0.0,-9999,-9999,5.69211,6.87026,7.83692,9.46303,10.2884,10.353,10.6563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4926,-11.8476,-11.6949,-11.559,-11.1914,-10.5728,-10.4455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0888,11.0655,9.85978,0.433489,6.54539,6.69374,7.01367,10.1937,11.1258,11.9628,15.0637,9.85147,9.83547,9.30813,0.368697,5.93687,6.57768,6.94249,9.79445,10.4137,10.8375,13.7587,4.00253,10.5528,4.72392,0.405711,2.41016,3.03883,3.24634,4.00253,4.5719,4.58686,10.5528,5.22557,1.08289,6.85142,0.581709,1.08289,1.08289,4.84169,5.12883,10.8626,10.8715,11.0302
20240107,5.858,0.0,3.279,1.88,0.0,9.47,2.825,0.0,3.151,2.318,1.433,4.319,3.719,3.151,0.0,2.318,1.433,0.0,4.319,3.719,0.0,176.355,130.993,0.0,104.292,104.292,0.0,282.091,0.0,262.331,262.331,0.0,262.656,0.0,259.05,259.05,0.0,1.15,0.0,1.192,1.192,0.0,95.69,95.69,0.0,0.0,0.0,0.0,0.784,0.784,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,496.949,0.0,8.449,0.0,18.292,0.0,-8.20532,0.0,20.996,0.0,-9999,-9999,-9999,2.28937,-9999,18.8764,0.0,-9999,-9999,-9999,1.66059,-9999,-9999,-9999,28,20,0,5,0.320291,0.0,0.872301,1.12036,0.814309,0.0,0.872301,1.12036,0.646397,0.0,0.1189,-0.504921,-0.151842,0.262115,0.677256,0.971743,1.25429,2.16281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2249,4.64929,0.0,-9999,-9999,-12.1741,6.97498,0.0,0.84059,1.03721,10.0296,4.74524,0.0,-9999,-9999,-12.1581,7.04909,0.0,0.84059,1.03721,7.38825,8.19154,8.41932,9.28337,10.4208,10.7063,11.5203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6193,-12.3417,-12.2708,-12.1581,-11.1774,-11.1264,-11.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5182,10.4894,9.34244,0.411564,6.19221,6.33055,6.63147,9.63312,10.5645,11.3488,14.2676,9.69494,9.67507,8.69604,0.380054,5.19686,5.99788,6.34417,9.15137,10.1332,10.3771,12.9533,3.5378,10.3452,4.46706,0.403623,2.36274,2.77178,3.18247,3.5378,4.09091,4.38156,10.3452,4.98875,1.02574,6.55094,0.558916,1.02574,1.02574,4.60925,4.89441,10.4096,10.4178,10.573
20240108,5.791,0.0,3.252,1.405,0.0,9.345,2.897,0.0,2.808,2.764,2.927,2.869,4.206,2.808,0.0,2.764,2.927,0.0,2.869,4.206,0.0,177.324,123.135,0.0,75.077,75.077,0.0,283.771,0.0,290.991,290.991,0.0,276.543,0.0,289.672,289.672,0.0,1.095,0.0,1.31,1.31,0.0,95.543,95.543,0.0,0.008,0.008,0.0,0.597,0.597,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,492.035,0.0,8.373,0.0,18.403,0.0,-8.57447,0.0,22.0027,0.0,-9999,-9999,-9999,1.89163,-9999,16.8066,0.0,-9999,-9999,-9999,1.6154,-9999,-9999,-9999,28,20,0,12,-0.119222,0.0,0.620063,0.994282,0.234192,0.0,0.610843,0.988559,0.0443064,0.0,0.13677,-1.56368,-0.890437,-0.341234,0.1184,0.327825,0.664064,1.8272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44613,3.43988,0.0,-9999,-9999,-12.1003,7.4416,0.0,0.597521,0.94301,8.91988,3.4003,0.0,-9999,-9999,-11.9462,7.46498,0.0,0.588637,0.937406,5.87816,6.57504,7.31846,8.44613,9.10244,9.3602,10.5668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.1003,-12.0384,-11.9852,-11.8076,-11.0345,-10.5793,-10.5677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3369,10.3072,9.17955,0.404531,6.08227,6.21778,6.51304,9.46014,10.3846,11.1534,14.0174,10.0934,10.073,9.13524,0.372057,5.40712,6.49463,6.62209,9.83415,10.4609,10.8256,13.3534,3.46711,10.2617,4.41117,0.401231,2.34368,2.73609,3.1568,3.47278,4.00556,4.34621,10.2617,3.91222,0.748593,5.19702,0.461137,0.748593,0.748593,3.49408,3.82535,8.40893,8.41292,8.55752
20240109,6.176,0.0,3.53,1.617,0.0,9.881,2.321,0.0,5.521,5.262,1.284,5.885,1.986,5.521,0.0,5.262,1.284,0.0,5.885,1.986,0.0,178.35,133.683,0.0,26.288,26.288,0.0,286.051,0.0,350.239,350.239,0.0,265.005,0.0,352.975,352.975,0.0,1.258,0.0,0.673,0.673,0.0,95.306,95.306,0.0,1.43,1.43,0.0,1.109,1.109,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,488.301,0.0,8.683,0.0,18.632,0.0,-6.75819,0.0,21.3153,0.0,-9999,-9999,-9999,1.94718,-9999,19.114,0.0,-9999,-9999,-9999,1.6593,-9999,-9999,-9999,28,20,0,13,0.671622,0.0,0.633851,1.36674,1.23006,0.0,0.625886,1.36306,0.551639,0.0,0.166674,-1.83823,-1.15258,0.0904162,0.730401,1.23006,1.26917,1.87917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46303,4.78442,0.0,-9999,-9999,-11.6949,6.5948,0.0,0.610809,0.882813,10.2884,4.61595,0.0,-9999,-9999,-11.559,6.58406,0.0,0.603134,0.877521,5.69211,6.87026,7.83692,9.46303,10.2884,10.353,10.6563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.4926,-11.8476,-11.6949,-11.559,-11.1914,-10.5728,-10.4455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9568,11.9432,10.6487,0.466834,7.08535,7.26206,7.5986,11.0525,11.9782,12.8968,16.2784,10.7225,10.7131,10.097,0.400327,6.61752,7.17765,7.56558,10.6462,11.2582,11.7551,15.0026,4.8456,10.8518,5.16155,0.412307,2.47846,3.12494,3.35131,4.8456,5.43525,5.45256,10.8518,1.63403,0.268817,2.24395,0.216546,0.268817,0.268817,1.33945,1.58526,3.77794,3.7797,3.86403
20240110,5.858,0.0,3.279,1.88,0.0,9.47,2.825,0.0,6.099,5.752,0.952,6.585,1.375,6.099,0.0,5.752,0.952,0.0,6.585,1.375,0.0,179.432,130.993,0.0,43.493,43.493,0.0,282.091,0.0,341.726,341.726,0.0,263.549,0.0,343.878,343.878,0.0,1.15,0.0,0.467,0.467,0.0,95.481,95.481,0.0,0.098,0.098,0.0,1.609,1.609,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,496.949,0.0,8.449,0.0,18.292,0.0,-8.20532,0.0,20.996,0.0,-9999,-9999,-9999,1.88494,-9999,18.8764,0.0,-9999,-9999,-9999,1.66604,-9999,-9999,-9999,28,20,0,13,0.320291,0.0,0.720226,1.00649,0.814309,0.0,0.699123,0.9915,0.646397,0.0,0.1189,-0.504921,-0.151842,0.262115,0.677256,0.971743,1.25429,2.16281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2249,4.64929,0.0,-9999,-9999,-12.1741,6.97498,0.0,0.694044,0.922453,10.0296,4.74524,0.0,-9999,-9999,-12.1581,7.04909,0.0,0.673708,0.907251,7.38825,8.19154,8.41932,9.28337,10.4208,10.7063,11.5203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.6193,-12.3417,-12.2708,-12.1581,-11.1774,-11.1264,-11.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316,12.3066,10.9756,0.480639,7.30943,7.50935,7.84148,11.4093,12.3306,13.2833,16.7818,11.4988,11.4923,10.3292,0.446945,6.60543,7.22371,7.63534,10.8922,11.9961,12.3115,15.4508,5.22809,10.9716,5.35423,0.417218,2.50581,3.15942,3.38829,5.22809,5.82067,5.83901,10.9716,2.53068,0.440786,3.42611,0.320173,0.440786,0.440786,2.14429,2.4628,5.68033,5.68386,5.79761
