TIMESTAMP_START,TIMESTAMP_END,TA_F,SW_IN_F,LW_IN_F,SW_OUT,LW_OUT,VPD_F,PA_F,WS_F,G_F_MDS,LE_F_MDS,LE_CORR,H_F_MDS,H_CORR,LE_CORR_JOINTUNC,H_CORR_JOINTUNC
202401010000,202401010030,7.129,0.0,347.172,-9999.0,-9999.0,1.049,95.539,1.011,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010030,202401010100,7.132,0.0,347.172,-9999.0,-9999.0,0.866,95.553,1.045,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010100,202401010130,7.135,0.0,340.913,-9999.0,-9999.0,0.683,95.567,1.08,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010130,202401010200,7.225,0.0,340.913,-9999.0,-9999.0,0.754,95.556,1.065,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010200,202401010230,7.315,0.0,341.829,-9999.0,-9999.0,0.825,95.545,1.051,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010230,202401010300,7.179,0.0,341.829,-9999.0,-9999.0,0.689,95.545,0.956,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010300,202401010330,7.042,0.0,340.163,-9999.0,-9999.0,0.553,95.546,0.86,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010330,202401010400,7.013,0.0,340.163,-9999.0,-9999.0,0.455,95.512,0.745,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010400,202401010430,6.984,0.0,344.253,-9999.0,-9999.0,0.357,95.479,0.629,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010430,202401010500,7.011,0.0,344.253,-9999.0,-9999.0,0.294,95.466,0.47,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010500,202401010530,7.038,0.0,355.664,-9999.0,-9999.0,0.23,95.453,0.311,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010530,202401010600,6.934,0.0,355.664,-9999.0,-9999.0,0.135,95.445,0.366,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010600,202401010630,6.83,0.0,359.093,-9999.0,-9999.0,0.04,95.437,0.42,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010630,202401010700,6.871,0.0,359.093,-9999.0,-9999.0,0.0,95.445,0.542,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010700,202401010730,6.911,0.0,360.847,-9999.0,-9999.0,0.0,95.453,0.663,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
202401010730,202401010800,7.036,0.0,360.847,-9999.0,-9999.0,0.0,95.479,0.766,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
